时间,鲍鱼,大米,海参,肉毛鸡,鸡蛋,罗非鱼,生猪,面粉,牛肉,苹果,杏鲍菇,羊肉,豆油,玉米,猪肉,仔猪,白砂糖
2017-04-10,140.0,5.3,100.0,17.9,5.64,18.67,16.7,3.64,53.12,5.35,7.83,46.6,7.9,2.81,21.53,30.83,6774.38
2017-04-11,140.0,5.38,100.0,17.9,5.66,18.67,,3.69,52.82,5.35,7.9,46.54,7.89,2.8,21.61,33.0,6779.38
2017-04-12,140.0,5.37,100.0,17.12,5.6,18.67,16.8,3.64,52.83,5.35,7.9,46.23,7.92,2.97,21.55,34.0,6804.38
2017-04-13,140.0,5.38,100.0,17.12,5.57,18.67,16.6,3.68,53.41,5.35,7.87,46.46,7.92,2.97,21.85,30.25,6804.38
2017-04-14,140.0,5.37,100.0,17.12,5.56,18.67,16.8,3.64,53.03,5.35,7.34,45.99,7.67,2.92,21.4,34.0,6804.38
2017-04-15,140.0,5.35,100.0,17.12,5.48,18.67,,3.63,52.78,4.8,6.92,46.08,7.81,2.94,21.66,34.0,
2017-04-16,140.0,5.39,100.0,17.12,5.41,18.67,16.5,3.57,53.01,5.7,7.34,46.27,7.88,2.88,21.12,30.2,
2017-04-17,140.0,5.37,100.0,14.17,5.49,18.67,16.2,3.63,53.42,5.35,7.34,47.06,7.91,2.92,21.65,26.0,6826.88
2017-04-18,115.0,5.36,100.0,17.12,5.41,18.67,16.4,3.58,52.82,5.35,7.62,46.47,7.92,3.0,21.35,30.0,6833.75
2017-04-19,140.0,5.3,96.0,17.12,5.5,18.67,16.4,3.63,53.08,5.35,7.34,46.21,7.92,2.98,21.4,29.9,6825.63
2017-04-20,140.0,5.33,96.0,17.5,5.46,19.0,16.2,3.63,52.92,5.35,7.34,46.76,7.92,3.05,21.53,29.9,6824.38
2017-04-21,140.0,5.32,96.0,17.12,5.44,19.0,16.4,3.69,53.15,5.35,7.34,46.38,7.92,2.95,21.21,29.9,6821.88
2017-04-22,115.0,5.42,96.0,17.12,5.34,19.0,16.0,3.67,53.41,5.7,7.62,47.47,7.81,2.84,21.66,29.9,
2017-04-23,140.0,5.3,96.0,14.17,5.31,19.0,,3.61,53.12,4.8,7.34,46.23,7.82,2.95,21.12,,
2017-04-24,140.0,5.3,96.0,17.12,5.29,19.0,16.0,3.63,52.87,5.35,7.34,46.38,7.88,2.95,21.3,29.8,6803.75
2017-04-25,140.0,5.3,106.0,17.12,5.29,19.67,16.0,3.64,52.88,5.35,7.1,46.41,7.88,2.98,21.27,29.7,6778.75
2017-04-26,142.0,5.3,106.0,17.12,5.29,19.33,16.0,3.65,53.17,5.35,7.1,46.18,7.91,2.95,21.29,29.7,6778.75
2017-04-27,118.0,5.38,106.0,17.12,5.29,19.33,16.0,3.64,53.0,5.35,7.62,46.87,7.9,2.95,21.28,29.7,6758.75
2017-04-28,142.0,5.34,106.0,17.12,5.25,19.33,16.2,3.64,53.25,5.35,6.9,46.71,7.89,2.98,21.23,29.5,6758.75
2017-04-29,142.0,5.39,106.0,17.12,5.06,20.5,,3.68,53.25,5.35,6.38,46.43,7.87,2.93,21.35,34.0,
2017-04-30,142.0,5.36,106.0,16.83,4.98,19.33,15.8,3.55,52.64,5.7,6.9,46.06,7.85,2.98,21.08,29.5,
2017-05-01,142.0,5.27,106.0,14.17,5.12,19.33,15.8,3.63,53.15,4.8,6.38,46.36,7.84,2.98,21.3,24.8,
2017-05-02,142.0,5.29,106.0,17.12,5.18,19.33,15.8,3.63,52.83,5.35,6.9,46.44,7.87,2.95,21.05,29.0,6800.0
2017-05-03,142.0,5.3,106.0,17.12,5.19,19.33,16.2,3.63,53.05,5.35,6.9,46.63,7.62,2.85,20.76,28.9,6800.0
2017-05-04,142.0,5.3,106.0,14.17,5.16,20.67,16.05,3.64,53.23,5.35,6.8,46.36,7.96,3.02,20.94,23.4,6820.0
2017-05-05,148.67,5.4,106.0,14.17,5.19,20.67,15.65,3.69,53.35,5.4,6.8,46.17,7.97,2.94,21.0,23.4,6801.25
